,Name
0,Achham
12,Arghakhanchi
19,Baglung
31,Baitadi
42,Bajhang
56,Bajura
67,Banke
76,Bara
94,Bardiya
104,Bhaktapur
109,Bhojpur
119,Chitwan
128,Dadeldhura
136,Dailekh
148,Dang Deukhuri
159,Darchula
169,Dhading
183,Dhankuta
191,Dhanusa
210,Dolakha
220,Dolpa
229,Doti
240,East Rukum
245,Gorkha
257,Gulmi
270,Humla
278,Ilam
289,Jajarkot
297,Jhapa
313,Jumla
322,Kailali
336,Kalikot
346,Kanchanpur
357,Kapilvastu
368,Kaski
374,Kathmandu
386,Kavrepalanchok
400,Khotang
411,Lalitpur
418,Lamjung
427,Mahottari
443,Makwanpur
456,Manang
461,Morang
479,Mugu
484,Mustang
490,Myagdi
498,Nawalpur
508,Nuwakot
523,Okhaldhunga
532,Palpa
543,Panchthar
552,Parasi
560,Parbat
568,Parsa
584,Pyuthan
594,Ramechhap
603,Rasuwa
609,Rautahat
628,Rolpa
639,Rupandehi
656,Salyan
667,Sankhuwasabha
678,Saptari
698,Sarlahi
719,Sindhuli
729,Sindhupalchowk
742,Siraha
760,Solukhumbu
769,Sunsari
783,Surkhet
793,Syangja
805,Tanahun
816,Taplejung
826,Tehrathum
833,Udayapur
843,West Rukum
